Start time: 1684169708545
[2023-05-15 12:55:08.694666] PING 3.129.108.199 (3.129.108.199) 38(66) bytes of data.
[2023-05-15 12:55:08.695094] 46 bytes from 3.129.108.199: icmp_seq=1 ttl=47 time=97.7 ms
[2023-05-15 12:55:08.934907] 46 bytes from 3.129.108.199: icmp_seq=2 ttl=47 time=137 ms
[2023-05-15 12:55:09.186120] 46 bytes from 3.129.108.199: icmp_seq=3 ttl=47 time=187 ms
[2023-05-15 12:55:09.377283] 46 bytes from 3.129.108.199: icmp_seq=4 ttl=47 time=179 ms
[2023-05-15 12:55:09.585421] 46 bytes from 3.129.108.199: icmp_seq=5 ttl=47 time=187 ms
[2023-05-15 12:55:09.684601] 46 bytes from 3.129.108.199: icmp_seq=6 ttl=47 time=86.6 ms
[2023-05-15 12:55:09.894635] 46 bytes from 3.129.108.199: icmp_seq=7 ttl=47 time=96.4 ms
[2023-05-15 12:55:10.094731] 46 bytes from 3.129.108.199: icmp_seq=8 ttl=47 time=95.3 ms
[2023-05-15 12:55:10.288940] 46 bytes from 3.129.108.199: icmp_seq=9 ttl=47 time=89.5 ms
[2023-05-15 12:55:10.485358] 46 bytes from 3.129.108.199: icmp_seq=10 ttl=47 time=84.5 ms
[2023-05-15 12:55:10.708087] 46 bytes from 3.129.108.199: icmp_seq=11 ttl=47 time=106 ms
[2023-05-15 12:55:10.894078] 46 bytes from 3.129.108.199: icmp_seq=12 ttl=47 time=92.3 ms
[2023-05-15 12:55:11.115299] 46 bytes from 3.129.108.199: icmp_seq=13 ttl=47 time=112 ms
[2023-05-15 12:55:11.282209] 46 bytes from 3.129.108.199: icmp_seq=14 ttl=47 time=79.3 ms
[2023-05-15 12:55:11.481294] 46 bytes from 3.129.108.199: icmp_seq=15 ttl=47 time=77.4 ms
[2023-05-15 12:55:11.707554] 46 bytes from 3.129.108.199: icmp_seq=16 ttl=47 time=102 ms
[2023-05-15 12:55:11.901708] 46 bytes from 3.129.108.199: icmp_seq=17 ttl=47 time=96.5 ms
[2023-05-15 12:55:12.094894] 46 bytes from 3.129.108.199: icmp_seq=18 ttl=47 time=88.5 ms
[2023-05-15 12:55:12.295746] 46 bytes from 3.129.108.199: icmp_seq=19 ttl=47 time=87.1 ms
[2023-05-15 12:55:12.501791] 46 bytes from 3.129.108.199: icmp_seq=20 ttl=47 time=93.3 ms
[2023-05-15 12:55:12.694934] 46 bytes from 3.129.108.199: icmp_seq=21 ttl=47 time=85.5 ms
[2023-05-15 12:55:12.894624] 46 bytes from 3.129.108.199: icmp_seq=22 ttl=47 time=84.0 ms
[2023-05-15 12:55:13.109614] 46 bytes from 3.129.108.199: icmp_seq=23 ttl=47 time=98.3 ms
[2023-05-15 12:55:13.414878] 46 bytes from 3.129.108.199: icmp_seq=24 ttl=47 time=202 ms
[2023-05-15 12:55:13.495050] 46 bytes from 3.129.108.199: icmp_seq=25 ttl=47 time=79.7 ms
[2023-05-15 12:55:13.695089] 46 bytes from 3.129.108.199: icmp_seq=26 ttl=47 time=79.0 ms
[2023-05-15 12:55:13.894915] 46 bytes from 3.129.108.199: icmp_seq=27 ttl=47 time=77.9 ms
[2023-05-15 12:55:14.101523] 46 bytes from 3.129.108.199: icmp_seq=28 ttl=47 time=84.0 ms
[2023-05-15 12:55:14.307768] 46 bytes from 3.129.108.199: icmp_seq=29 ttl=47 time=89.6 ms
[2023-05-15 12:55:14.494879] 46 bytes from 3.129.108.199: icmp_seq=30 ttl=47 time=76.4 ms
[2023-05-15 12:55:14.720680] 46 bytes from 3.129.108.199: icmp_seq=31 ttl=47 time=101 ms
[2023-05-15 12:55:14.914599] 46 bytes from 3.129.108.199: icmp_seq=32 ttl=47 time=94.3 ms
[2023-05-15 12:55:15.100837] 46 bytes from 3.129.108.199: icmp_seq=33 ttl=47 time=79.5 ms
[2023-05-15 12:55:15.320796] 46 bytes from 3.129.108.199: icmp_seq=34 ttl=47 time=98.2 ms
[2023-05-15 12:55:15.514605] 46 bytes from 3.129.108.199: icmp_seq=35 ttl=47 time=91.1 ms
[2023-05-15 12:55:15.721836] 46 bytes from 3.129.108.199: icmp_seq=36 ttl=47 time=97.5 ms
[2023-05-15 12:55:15.915090] 46 bytes from 3.129.108.199: icmp_seq=37 ttl=47 time=89.5 ms
[2023-05-15 12:55:16.114557] 46 bytes from 3.129.108.199: icmp_seq=38 ttl=47 time=88.9 ms
[2023-05-15 12:55:16.315001] 46 bytes from 3.129.108.199: icmp_seq=39 ttl=47 time=88.5 ms
[2023-05-15 12:55:16.520939] 46 bytes from 3.129.108.199: icmp_seq=40 ttl=47 time=94.2 ms
[2023-05-15 12:55:16.715139] 46 bytes from 3.129.108.199: icmp_seq=41 ttl=47 time=87.4 ms
[2023-05-15 12:55:16.914592] 46 bytes from 3.129.108.199: icmp_seq=42 ttl=47 time=85.9 ms
[2023-05-15 12:55:17.120724] 46 bytes from 3.129.108.199: icmp_seq=43 ttl=47 time=91.4 ms
[2023-05-15 12:55:17.314647] 46 bytes from 3.129.108.199: icmp_seq=44 ttl=47 time=84.2 ms
[2023-05-15 12:55:17.527692] 46 bytes from 3.129.108.199: icmp_seq=45 ttl=47 time=96.3 ms
[2023-05-15 12:55:17.714753] 46 bytes from 3.129.108.199: icmp_seq=46 ttl=47 time=82.4 ms
[2023-05-15 12:55:17.914616] 46 bytes from 3.129.108.199: icmp_seq=47 ttl=47 time=81.2 ms
[2023-05-15 12:55:18.121583] 46 bytes from 3.129.108.199: icmp_seq=48 ttl=47 time=87.3 ms
[2023-05-15 12:55:18.314831] 46 bytes from 3.129.108.199: icmp_seq=49 ttl=47 time=79.5 ms
[2023-05-15 12:55:18.514782] 46 bytes from 3.129.108.199: icmp_seq=50 ttl=47 time=78.4 ms
[2023-05-15 12:55:18.714877] 46 bytes from 3.129.108.199: icmp_seq=51 ttl=47 time=77.3 ms
[2023-05-15 12:55:18.934713] 46 bytes from 3.129.108.199: icmp_seq=52 ttl=47 time=96.2 ms
[2023-05-15 12:55:19.134708] 46 bytes from 3.129.108.199: icmp_seq=53 ttl=47 time=95.4 ms
[2023-05-15 12:55:19.321849] 46 bytes from 3.129.108.199: icmp_seq=54 ttl=47 time=81.4 ms
[2023-05-15 12:55:19.534957] 46 bytes from 3.129.108.199: icmp_seq=55 ttl=47 time=93.2 ms
[2023-05-15 12:55:19.736030] 46 bytes from 3.129.108.199: icmp_seq=56 ttl=47 time=93.4 ms
[2023-05-15 12:55:19.914743] 46 bytes from 3.129.108.199: icmp_seq=57 ttl=47 time=71.1 ms
[2023-05-15 12:55:20.140732] 46 bytes from 3.129.108.199: icmp_seq=58 ttl=47 time=96.2 ms
[2023-05-15 12:55:20.335651] 46 bytes from 3.129.108.199: icmp_seq=59 ttl=47 time=90.2 ms
[2023-05-15 12:55:20.536113] 46 bytes from 3.129.108.199: icmp_seq=60 ttl=47 time=89.3 ms
[2023-05-15 12:55:20.734683] 46 bytes from 3.129.108.199: icmp_seq=61 ttl=47 time=87.9 ms
[2023-05-15 12:55:20.934573] 46 bytes from 3.129.108.199: icmp_seq=62 ttl=47 time=87.3 ms
[2023-05-15 12:55:21.143599] 46 bytes from 3.129.108.199: icmp_seq=63 ttl=47 time=95.4 ms
[2023-05-15 12:55:21.334832] 46 bytes from 3.129.108.199: icmp_seq=64 ttl=47 time=85.5 ms
[2023-05-15 12:55:21.534826] 46 bytes from 3.129.108.199: icmp_seq=65 ttl=47 time=84.2 ms
[2023-05-15 12:55:21.734773] 46 bytes from 3.129.108.199: icmp_seq=66 ttl=47 time=83.2 ms
[2023-05-15 12:55:21.934576] 46 bytes from 3.129.108.199: icmp_seq=67 ttl=47 time=82.2 ms
[2023-05-15 12:55:22.134883] 46 bytes from 3.129.108.199: icmp_seq=68 ttl=47 time=81.3 ms
[2023-05-15 12:55:22.334916] 46 bytes from 3.129.108.199: icmp_seq=69 ttl=47 time=81.1 ms
[2023-05-15 12:55:22.534806] 46 bytes from 3.129.108.199: icmp_seq=70 ttl=47 time=80.1 ms
[2023-05-15 12:55:22.734620] 46 bytes from 3.129.108.199: icmp_seq=71 ttl=47 time=79.1 ms
[2023-05-15 12:55:22.934604] 46 bytes from 3.129.108.199: icmp_seq=72 ttl=47 time=78.3 ms
[2023-05-15 12:55:23.140756] 46 bytes from 3.129.108.199: icmp_seq=73 ttl=47 time=83.4 ms
[2023-05-15 12:55:23.334621] 46 bytes from 3.129.108.199: icmp_seq=74 ttl=47 time=76.1 ms
[2023-05-15 12:55:23.554719] 46 bytes from 3.129.108.199: icmp_seq=75 ttl=47 time=95.4 ms
[2023-05-15 12:55:23.735831] 46 bytes from 3.129.108.199: icmp_seq=76 ttl=47 time=75.4 ms
[2023-05-15 12:55:23.954562] 46 bytes from 3.129.108.199: icmp_seq=77 ttl=47 time=93.1 ms
[2023-05-15 12:55:24.154719] 46 bytes from 3.129.108.199: icmp_seq=78 ttl=47 time=92.4 ms
[2023-05-15 12:55:24.334839] 46 bytes from 3.129.108.199: icmp_seq=79 ttl=47 time=71.4 ms
[2023-05-15 12:55:24.554544] 46 bytes from 3.129.108.199: icmp_seq=80 ttl=47 time=90.0 ms
[2023-05-15 12:55:24.754594] 46 bytes from 3.129.108.199: icmp_seq=81 ttl=47 time=89.4 ms
[2023-05-15 12:55:24.954614] 46 bytes from 3.129.108.199: icmp_seq=82 ttl=47 time=88.4 ms
[2023-05-15 12:55:25.154415] 46 bytes from 3.129.108.199: icmp_seq=83 ttl=47 time=87.3 ms
[2023-05-15 12:55:25.354909] 46 bytes from 3.129.108.199: icmp_seq=84 ttl=47 time=86.7 ms
[2023-05-15 12:55:25.554707] 46 bytes from 3.129.108.199: icmp_seq=85 ttl=47 time=86.1 ms
[2023-05-15 12:55:25.754579] 46 bytes from 3.129.108.199: icmp_seq=86 ttl=47 time=85.2 ms
