Start time: 1691534004378
[2023-08-08 18:33:24.557757] PING 54.197.223.49 (54.197.223.49) 38(66) bytes of data.
[2023-08-08 18:33:24.558279] 46 bytes from 54.197.223.49: icmp_seq=1 ttl=49 time=132 ms
[2023-08-08 18:33:24.702051] 46 bytes from 54.197.223.49: icmp_seq=2 ttl=49 time=75.6 ms
[2023-08-08 18:33:25.031780] 46 bytes from 54.197.223.49: icmp_seq=3 ttl=49 time=205 ms
[2023-08-08 18:33:25.108657] 46 bytes from 54.197.223.49: icmp_seq=4 ttl=49 time=76.6 ms
[2023-08-08 18:33:25.478107] 46 bytes from 54.197.223.49: icmp_seq=5 ttl=49 time=244 ms
[2023-08-08 18:33:25.580774] 46 bytes from 54.197.223.49: icmp_seq=6 ttl=49 time=139 ms
[2023-08-08 18:33:25.695837] 46 bytes from 54.197.223.49: icmp_seq=7 ttl=49 time=53.6 ms
[2023-08-08 18:33:26.021095] 46 bytes from 54.197.223.49: icmp_seq=8 ttl=49 time=177 ms
[2023-08-08 18:33:26.140752] 46 bytes from 54.197.223.49: icmp_seq=9 ttl=49 time=97.3 ms
[2023-08-08 18:33:26.400002] 46 bytes from 54.197.223.49: icmp_seq=10 ttl=49 time=155 ms
[2023-08-08 18:33:26.633191] 46 bytes from 54.197.223.49: icmp_seq=11 ttl=49 time=187 ms
[2023-08-08 18:33:26.861985] 46 bytes from 54.197.223.49: icmp_seq=12 ttl=49 time=216 ms
[2023-08-08 18:33:27.125957] 46 bytes from 54.197.223.49: icmp_seq=13 ttl=49 time=272 ms
[2023-08-08 18:33:27.131619] 46 bytes from 54.197.223.49: icmp_seq=14 ttl=49 time=77.1 ms
[2023-08-08 18:33:27.424838] 46 bytes from 54.197.223.49: icmp_seq=15 ttl=49 time=169 ms
[2023-08-08 18:33:27.574076] 46 bytes from 54.197.223.49: icmp_seq=16 ttl=49 time=117 ms
[2023-08-08 18:33:27.963418] 46 bytes from 54.197.223.49: icmp_seq=17 ttl=49 time=306 ms
[2023-08-08 18:33:27.992835] 46 bytes from 54.197.223.49: icmp_seq=18 ttl=49 time=127 ms
[2023-08-08 18:33:28.440166] 46 bytes from 54.197.223.49: icmp_seq=19 ttl=49 time=373 ms
[2023-08-08 18:33:28.440523] 46 bytes from 54.197.223.49: icmp_seq=20 ttl=49 time=166 ms
[2023-08-08 18:33:28.842112] 46 bytes from 54.197.223.49: icmp_seq=21 ttl=49 time=368 ms
[2023-08-08 18:33:28.870937] 46 bytes from 54.197.223.49: icmp_seq=22 ttl=49 time=189 ms
[2023-08-08 18:33:28.991903] 46 bytes from 54.197.223.49: icmp_seq=23 ttl=49 time=109 ms
[2023-08-08 18:33:29.166967] 46 bytes from 54.197.223.49: icmp_seq=24 ttl=49 time=83.4 ms
[2023-08-08 18:33:29.369919] 46 bytes from 54.197.223.49: icmp_seq=25 ttl=49 time=85.4 ms
[2023-08-08 18:33:29.592003] 46 bytes from 54.197.223.49: icmp_seq=26 ttl=49 time=106 ms
[2023-08-08 18:33:29.752941] 46 bytes from 54.197.223.49: icmp_seq=27 ttl=49 time=66.4 ms
[2023-08-08 18:33:30.240211] 46 bytes from 54.197.223.49: icmp_seq=28 ttl=49 time=352 ms
[2023-08-08 18:33:30.242718] 46 bytes from 54.197.223.49: icmp_seq=29 ttl=49 time=155 ms
[2023-08-08 18:33:30.359081] 46 bytes from 54.197.223.49: icmp_seq=30 ttl=49 time=70.8 ms
[2023-08-08 18:33:30.561982] 46 bytes from 54.197.223.49: icmp_seq=31 ttl=49 time=73.3 ms
[2023-08-08 18:33:30.738039] 46 bytes from 54.197.223.49: icmp_seq=32 ttl=49 time=48.3 ms
[2023-08-08 18:33:30.959010] 46 bytes from 54.197.223.49: icmp_seq=33 ttl=49 time=68.1 ms
[2023-08-08 18:33:31.163142] 46 bytes from 54.197.223.49: icmp_seq=34 ttl=49 time=71.3 ms
[2023-08-08 18:33:31.363075] 46 bytes from 54.197.223.49: icmp_seq=35 ttl=49 time=70.4 ms
[2023-08-08 18:33:31.557123] 46 bytes from 54.197.223.49: icmp_seq=36 ttl=49 time=63.3 ms
[2023-08-08 18:33:31.765895] 46 bytes from 54.197.223.49: icmp_seq=37 ttl=49 time=71.1 ms
[2023-08-08 18:33:31.951343] 46 bytes from 54.197.223.49: icmp_seq=38 ttl=49 time=55.6 ms
[2023-08-08 18:33:32.172965] 46 bytes from 54.197.223.49: icmp_seq=39 ttl=49 time=77.1 ms
