Start time: 1684169190194
[2023-05-15 12:46:30.335849] PING 3.129.108.199 (3.129.108.199) 38(66) bytes of data.
[2023-05-15 12:46:30.336434] 46 bytes from 3.129.108.199: icmp_seq=1 ttl=48 time=105 ms
[2023-05-15 12:46:30.550659] 46 bytes from 3.129.108.199: icmp_seq=2 ttl=48 time=120 ms
[2023-05-15 12:46:30.710492] 46 bytes from 3.129.108.199: icmp_seq=3 ttl=48 time=79.4 ms
[2023-05-15 12:46:30.918883] 46 bytes from 3.129.108.199: icmp_seq=4 ttl=48 time=86.7 ms
[2023-05-15 12:46:31.118977] 46 bytes from 3.129.108.199: icmp_seq=5 ttl=48 time=86.3 ms
[2023-05-15 12:46:31.310832] 46 bytes from 3.129.108.199: icmp_seq=6 ttl=48 time=77.4 ms
[2023-05-15 12:46:31.520091] 46 bytes from 3.129.108.199: icmp_seq=7 ttl=48 time=85.6 ms
[2023-05-15 12:46:31.714822] 46 bytes from 3.129.108.199: icmp_seq=8 ttl=48 time=80.1 ms
[2023-05-15 12:46:31.917621] 46 bytes from 3.129.108.199: icmp_seq=9 ttl=48 time=82.3 ms
[2023-05-15 12:46:32.121780] 46 bytes from 3.129.108.199: icmp_seq=10 ttl=48 time=85.6 ms
[2023-05-15 12:46:32.310674] 46 bytes from 3.129.108.199: icmp_seq=11 ttl=48 time=73.4 ms
[2023-05-15 12:46:32.510916] 46 bytes from 3.129.108.199: icmp_seq=12 ttl=48 time=72.5 ms
[2023-05-15 12:46:32.721762] 46 bytes from 3.129.108.199: icmp_seq=13 ttl=48 time=82.2 ms
[2023-05-15 12:46:32.932863] 46 bytes from 3.129.108.199: icmp_seq=14 ttl=48 time=92.4 ms
[2023-05-15 12:46:33.124733] 46 bytes from 3.129.108.199: icmp_seq=15 ttl=48 time=83.3 ms
[2023-05-15 12:46:33.333168] 46 bytes from 3.129.108.199: icmp_seq=16 ttl=48 time=90.8 ms
[2023-05-15 12:46:33.528896] 46 bytes from 3.129.108.199: icmp_seq=17 ttl=48 time=86.0 ms
[2023-05-15 12:46:33.741123] 46 bytes from 3.129.108.199: icmp_seq=18 ttl=48 time=97.4 ms
[2023-05-15 12:46:33.929763] 46 bytes from 3.129.108.199: icmp_seq=19 ttl=48 time=85.2 ms
[2023-05-15 12:46:34.141038] 46 bytes from 3.129.108.199: icmp_seq=20 ttl=48 time=95.8 ms
[2023-05-15 12:46:34.329225] 46 bytes from 3.129.108.199: icmp_seq=21 ttl=48 time=83.6 ms
[2023-05-15 12:46:34.521268] 46 bytes from 3.129.108.199: icmp_seq=22 ttl=48 time=75.1 ms
[2023-05-15 12:46:34.720856] 46 bytes from 3.129.108.199: icmp_seq=23 ttl=48 time=74.0 ms
[2023-05-15 12:46:34.919774] 46 bytes from 3.129.108.199: icmp_seq=24 ttl=48 time=72.2 ms
[2023-05-15 12:46:35.120938] 46 bytes from 3.129.108.199: icmp_seq=25 ttl=48 time=72.3 ms
[2023-05-15 12:46:35.338895] 46 bytes from 3.129.108.199: icmp_seq=26 ttl=48 time=89.2 ms
[2023-05-15 12:46:35.539753] 46 bytes from 3.129.108.199: icmp_seq=27 ttl=48 time=89.2 ms
[2023-05-15 12:46:35.746798] 46 bytes from 3.129.108.199: icmp_seq=28 ttl=48 time=95.4 ms
[2023-05-15 12:46:35.939613] 46 bytes from 3.129.108.199: icmp_seq=29 ttl=48 time=87.1 ms
[2023-05-15 12:46:36.157840] 46 bytes from 3.129.108.199: icmp_seq=30 ttl=48 time=104 ms
[2023-05-15 12:46:36.331005] 46 bytes from 3.129.108.199: icmp_seq=31 ttl=48 time=76.6 ms
[2023-05-15 12:46:36.548881] 46 bytes from 3.129.108.199: icmp_seq=32 ttl=48 time=93.0 ms
[2023-05-15 12:46:36.730888] 46 bytes from 3.129.108.199: icmp_seq=33 ttl=48 time=74.4 ms
[2023-05-15 12:46:36.930849] 46 bytes from 3.129.108.199: icmp_seq=34 ttl=48 time=73.4 ms
[2023-05-15 12:46:37.130026] 46 bytes from 3.129.108.199: icmp_seq=35 ttl=48 time=71.4 ms
[2023-05-15 12:46:37.339831] 46 bytes from 3.129.108.199: icmp_seq=36 ttl=48 time=80.1 ms
[2023-05-15 12:46:37.540762] 46 bytes from 3.129.108.199: icmp_seq=37 ttl=48 time=80.2 ms
[2023-05-15 12:46:37.741079] 46 bytes from 3.129.108.199: icmp_seq=38 ttl=48 time=79.6 ms
[2023-05-15 12:46:37.940775] 46 bytes from 3.129.108.199: icmp_seq=39 ttl=48 time=79.0 ms
[2023-05-15 12:46:38.139669] 46 bytes from 3.129.108.199: icmp_seq=40 ttl=48 time=77.3 ms
[2023-05-15 12:46:38.340757] 46 bytes from 3.129.108.199: icmp_seq=41 ttl=48 time=77.5 ms
[2023-05-15 12:46:38.540810] 46 bytes from 3.129.108.199: icmp_seq=42 ttl=48 time=76.4 ms
[2023-05-15 12:46:38.740726] 46 bytes from 3.129.108.199: icmp_seq=43 ttl=48 time=75.2 ms
[2023-05-15 12:46:38.955875] 46 bytes from 3.129.108.199: icmp_seq=44 ttl=48 time=89.5 ms
[2023-05-15 12:46:39.140650] 46 bytes from 3.129.108.199: icmp_seq=45 ttl=48 time=73.1 ms
[2023-05-15 12:46:39.340927] 46 bytes from 3.129.108.199: icmp_seq=46 ttl=48 time=72.6 ms
[2023-05-15 12:46:39.540691] 46 bytes from 3.129.108.199: icmp_seq=47 ttl=48 time=72.0 ms
[2023-05-15 12:46:39.750032] 46 bytes from 3.129.108.199: icmp_seq=48 ttl=48 time=80.6 ms
[2023-05-15 12:46:39.951158] 46 bytes from 3.129.108.199: icmp_seq=49 ttl=48 time=81.3 ms
[2023-05-15 12:46:40.150536] 46 bytes from 3.129.108.199: icmp_seq=50 ttl=48 time=79.8 ms
[2023-05-15 12:46:40.350631] 46 bytes from 3.129.108.199: icmp_seq=51 ttl=48 time=79.5 ms
[2023-05-15 12:46:40.550841] 46 bytes from 3.129.108.199: icmp_seq=52 ttl=48 time=78.5 ms
[2023-05-15 12:46:40.752839] 46 bytes from 3.129.108.199: icmp_seq=53 ttl=48 time=79.3 ms
[2023-05-15 12:46:40.951161] 46 bytes from 3.129.108.199: icmp_seq=54 ttl=48 time=76.4 ms
[2023-05-15 12:46:41.149814] 46 bytes from 3.129.108.199: icmp_seq=55 ttl=48 time=75.0 ms
[2023-05-15 12:46:41.349762] 46 bytes from 3.129.108.199: icmp_seq=56 ttl=48 time=74.3 ms
[2023-05-15 12:46:41.550762] 46 bytes from 3.129.108.199: icmp_seq=57 ttl=48 time=74.3 ms
[2023-05-15 12:46:41.750995] 46 bytes from 3.129.108.199: icmp_seq=58 ttl=48 time=73.5 ms
[2023-05-15 12:46:41.950971] 46 bytes from 3.129.108.199: icmp_seq=59 ttl=48 time=73.3 ms
[2023-05-15 12:46:42.149714] 46 bytes from 3.129.108.199: icmp_seq=60 ttl=48 time=71.3 ms
[2023-05-15 12:46:42.360935] 46 bytes from 3.129.108.199: icmp_seq=61 ttl=48 time=81.5 ms
[2023-05-15 12:46:42.561074] 46 bytes from 3.129.108.199: icmp_seq=62 ttl=48 time=80.2 ms
[2023-05-15 12:46:42.760703] 46 bytes from 3.129.108.199: icmp_seq=63 ttl=48 time=79.1 ms
[2023-05-15 12:46:42.971952] 46 bytes from 3.129.108.199: icmp_seq=64 ttl=48 time=89.6 ms
[2023-05-15 12:46:43.170805] 46 bytes from 3.129.108.199: icmp_seq=65 ttl=48 time=88.2 ms
[2023-05-15 12:46:43.360830] 46 bytes from 3.129.108.199: icmp_seq=66 ttl=48 time=77.4 ms
[2023-05-15 12:46:43.560782] 46 bytes from 3.129.108.199: icmp_seq=67 ttl=48 time=76.3 ms
[2023-05-15 12:46:43.768905] 46 bytes from 3.129.108.199: icmp_seq=68 ttl=48 time=83.4 ms
[2023-05-15 12:46:43.961819] 46 bytes from 3.129.108.199: icmp_seq=69 ttl=48 time=75.4 ms
[2023-05-15 12:46:44.160769] 46 bytes from 3.129.108.199: icmp_seq=70 ttl=48 time=73.3 ms
[2023-05-15 12:46:44.361744] 46 bytes from 3.129.108.199: icmp_seq=71 ttl=48 time=73.3 ms
[2023-05-15 12:46:44.571001] 46 bytes from 3.129.108.199: icmp_seq=72 ttl=48 time=81.4 ms
