Start time: 1691333249166
[2023-08-06 10:47:29.297263] PING 54.197.223.49 (54.197.223.49) 38(66) bytes of data.
[2023-08-06 10:47:29.297609] 46 bytes from 54.197.223.49: icmp_seq=1 ttl=48 time=57.8 ms
[2023-08-06 10:47:29.489362] 46 bytes from 54.197.223.49: icmp_seq=2 ttl=48 time=60.5 ms
[2023-08-06 10:47:29.708471] 46 bytes from 54.197.223.49: icmp_seq=3 ttl=48 time=79.3 ms
[2023-08-06 10:47:29.884553] 46 bytes from 54.197.223.49: icmp_seq=4 ttl=48 time=54.3 ms
[2023-08-06 10:47:30.095905] 46 bytes from 54.197.223.49: icmp_seq=5 ttl=48 time=64.6 ms
[2023-08-06 10:47:30.309810] 46 bytes from 54.197.223.49: icmp_seq=6 ttl=48 time=78.2 ms
[2023-08-06 10:47:30.498009] 46 bytes from 54.197.223.49: icmp_seq=7 ttl=48 time=65.5 ms
[2023-08-06 10:47:30.710134] 46 bytes from 54.197.223.49: icmp_seq=8 ttl=48 time=77.3 ms
[2023-08-06 10:47:30.897095] 46 bytes from 54.197.223.49: icmp_seq=9 ttl=48 time=63.4 ms
[2023-08-06 10:47:31.109370] 46 bytes from 54.197.223.49: icmp_seq=10 ttl=48 time=74.7 ms
[2023-08-06 10:47:31.297467] 46 bytes from 54.197.223.49: icmp_seq=11 ttl=48 time=62.4 ms
[2023-08-06 10:47:31.496577] 46 bytes from 54.197.223.49: icmp_seq=12 ttl=48 time=60.5 ms
[2023-08-06 10:47:31.769067] 46 bytes from 54.197.223.49: icmp_seq=13 ttl=48 time=131 ms
[2023-08-06 10:47:31.909919] 46 bytes from 54.197.223.49: icmp_seq=14 ttl=48 time=72.4 ms
[2023-08-06 10:47:32.108738] 46 bytes from 54.197.223.49: icmp_seq=15 ttl=48 time=70.0 ms
[2023-08-06 10:47:32.319198] 46 bytes from 54.197.223.49: icmp_seq=16 ttl=48 time=79.7 ms
[2023-08-06 10:47:32.516452] 46 bytes from 54.197.223.49: icmp_seq=17 ttl=48 time=76.5 ms
[2023-08-06 10:47:32.735448] 46 bytes from 54.197.223.49: icmp_seq=18 ttl=48 time=95.2 ms
[2023-08-06 10:47:32.915740] 46 bytes from 54.197.223.49: icmp_seq=19 ttl=48 time=74.6 ms
[2023-08-06 10:47:33.121670] 46 bytes from 54.197.223.49: icmp_seq=20 ttl=48 time=80.3 ms
[2023-08-06 10:47:33.318056] 46 bytes from 54.197.223.49: icmp_seq=21 ttl=48 time=75.6 ms
[2023-08-06 10:47:33.516145] 46 bytes from 54.197.223.49: icmp_seq=22 ttl=48 time=73.5 ms
[2023-08-06 10:47:33.724250] 46 bytes from 54.197.223.49: icmp_seq=23 ttl=48 time=80.3 ms
[2023-08-06 10:47:33.918320] 46 bytes from 54.197.223.49: icmp_seq=24 ttl=48 time=73.4 ms
[2023-08-06 10:47:34.134425] 46 bytes from 54.197.223.49: icmp_seq=25 ttl=48 time=88.5 ms
[2023-08-06 10:47:34.316730] 46 bytes from 54.197.223.49: icmp_seq=26 ttl=48 time=69.6 ms
[2023-08-06 10:47:34.515235] 46 bytes from 54.197.223.49: icmp_seq=27 ttl=48 time=67.7 ms
[2023-08-06 10:47:34.715019] 46 bytes from 54.197.223.49: icmp_seq=28 ttl=48 time=67.0 ms
[2023-08-06 10:47:34.922143] 46 bytes from 54.197.223.49: icmp_seq=29 ttl=48 time=73.4 ms
[2023-08-06 10:47:35.114199] 46 bytes from 54.197.223.49: icmp_seq=30 ttl=48 time=64.4 ms
[2023-08-06 10:47:35.317392] 46 bytes from 54.197.223.49: icmp_seq=31 ttl=48 time=66.4 ms
[2023-08-06 10:47:35.535497] 46 bytes from 54.197.223.49: icmp_seq=32 ttl=48 time=83.4 ms
[2023-08-06 10:47:35.725693] 46 bytes from 54.197.223.49: icmp_seq=33 ttl=48 time=72.6 ms
[2023-08-06 10:47:35.926664] 46 bytes from 54.197.223.49: icmp_seq=34 ttl=48 time=73.4 ms
[2023-08-06 10:47:36.124893] 46 bytes from 54.197.223.49: icmp_seq=35 ttl=48 time=70.5 ms
[2023-08-06 10:47:36.325968] 46 bytes from 54.197.223.49: icmp_seq=36 ttl=48 time=70.4 ms
[2023-08-06 10:47:36.525284] 46 bytes from 54.197.223.49: icmp_seq=37 ttl=48 time=68.7 ms
[2023-08-06 10:47:36.728418] 46 bytes from 54.197.223.49: icmp_seq=38 ttl=48 time=71.3 ms
[2023-08-06 10:47:36.925594] 46 bytes from 54.197.223.49: icmp_seq=39 ttl=48 time=67.5 ms
[2023-08-06 10:47:37.125547] 46 bytes from 54.197.223.49: icmp_seq=40 ttl=48 time=67.4 ms
[2023-08-06 10:47:37.335776] 46 bytes from 54.197.223.49: icmp_seq=41 ttl=48 time=76.5 ms
[2023-08-06 10:47:37.524952] 46 bytes from 54.197.223.49: icmp_seq=42 ttl=48 time=64.5 ms
