Start time: 1691522065010
[2023-08-08 15:14:25.128695] PING 54.197.223.49 (54.197.223.49) 38(66) bytes of data.
[2023-08-08 15:14:25.129202] 46 bytes from 54.197.223.49: icmp_seq=1 ttl=48 time=72.3 ms
[2023-08-08 15:14:25.317457] 46 bytes from 54.197.223.49: icmp_seq=2 ttl=48 time=59.9 ms
[2023-08-08 15:14:25.512166] 46 bytes from 54.197.223.49: icmp_seq=3 ttl=48 time=54.2 ms
[2023-08-08 15:14:25.744160] 46 bytes from 54.197.223.49: icmp_seq=4 ttl=48 time=85.3 ms
[2023-08-08 15:14:25.910372] 46 bytes from 54.197.223.49: icmp_seq=5 ttl=48 time=50.4 ms
[2023-08-08 15:14:26.112441] 46 bytes from 54.197.223.49: icmp_seq=6 ttl=48 time=51.3 ms
[2023-08-08 15:14:26.384340] 46 bytes from 54.197.223.49: icmp_seq=7 ttl=48 time=122 ms
[2023-08-08 15:14:26.507365] 46 bytes from 54.197.223.49: icmp_seq=8 ttl=48 time=44.3 ms
[2023-08-08 15:14:26.864158] 46 bytes from 54.197.223.49: icmp_seq=9 ttl=48 time=200 ms
[2023-08-08 15:14:26.912367] 46 bytes from 54.197.223.49: icmp_seq=10 ttl=48 time=47.7 ms
[2023-08-08 15:14:27.184699] 46 bytes from 54.197.223.49: icmp_seq=11 ttl=48 time=119 ms
[2023-08-08 15:14:27.322205] 46 bytes from 54.197.223.49: icmp_seq=12 ttl=48 time=55.9 ms
[2023-08-08 15:14:27.527303] 46 bytes from 54.197.223.49: icmp_seq=13 ttl=48 time=60.4 ms
[2023-08-08 15:14:27.712488] 46 bytes from 54.197.223.49: icmp_seq=14 ttl=48 time=44.5 ms
[2023-08-08 15:14:27.984555] 46 bytes from 54.197.223.49: icmp_seq=15 ttl=48 time=115 ms
[2023-08-08 15:14:28.145310] 46 bytes from 54.197.223.49: icmp_seq=16 ttl=48 time=75.1 ms
[2023-08-08 15:14:28.328854] 46 bytes from 54.197.223.49: icmp_seq=17 ttl=48 time=57.9 ms
[2023-08-08 15:14:28.529231] 46 bytes from 54.197.223.49: icmp_seq=18 ttl=48 time=57.8 ms
[2023-08-08 15:14:28.720512] 46 bytes from 54.197.223.49: icmp_seq=19 ttl=48 time=48.4 ms
[2023-08-08 15:14:28.929532] 46 bytes from 54.197.223.49: icmp_seq=20 ttl=48 time=57.2 ms
[2023-08-08 15:14:29.129406] 46 bytes from 54.197.223.49: icmp_seq=21 ttl=48 time=56.2 ms
[2023-08-08 15:14:29.322258] 46 bytes from 54.197.223.49: icmp_seq=22 ttl=48 time=48.2 ms
[2023-08-08 15:14:29.584292] 46 bytes from 54.197.223.49: icmp_seq=23 ttl=48 time=109 ms
[2023-08-08 15:14:29.728654] 46 bytes from 54.197.223.49: icmp_seq=24 ttl=48 time=52.8 ms
[2023-08-08 15:14:29.922293] 46 bytes from 54.197.223.49: icmp_seq=25 ttl=48 time=45.9 ms
[2023-08-08 15:14:30.124932] 46 bytes from 54.197.223.49: icmp_seq=26 ttl=48 time=47.8 ms
[2023-08-08 15:14:30.324710] 46 bytes from 54.197.223.49: icmp_seq=27 ttl=48 time=47.0 ms
[2023-08-08 15:14:30.523666] 46 bytes from 54.197.223.49: icmp_seq=28 ttl=48 time=45.3 ms
[2023-08-08 15:14:30.864304] 46 bytes from 54.197.223.49: icmp_seq=29 ttl=48 time=184 ms
[2023-08-08 15:14:30.932171] 46 bytes from 54.197.223.49: icmp_seq=30 ttl=48 time=52.4 ms
[2023-08-08 15:14:31.184530] 46 bytes from 54.197.223.49: icmp_seq=31 ttl=48 time=103 ms
[2023-08-08 15:14:31.332268] 46 bytes from 54.197.223.49: icmp_seq=32 ttl=48 time=51.2 ms
[2023-08-08 15:14:31.532230] 46 bytes from 54.197.223.49: icmp_seq=33 ttl=48 time=50.4 ms
[2023-08-08 15:14:31.834265] 46 bytes from 54.197.223.49: icmp_seq=34 ttl=48 time=151 ms
[2023-08-08 15:14:31.932420] 46 bytes from 54.197.223.49: icmp_seq=35 ttl=48 time=48.4 ms
[2023-08-08 15:14:32.147185] 46 bytes from 54.197.223.49: icmp_seq=36 ttl=48 time=62.2 ms
[2023-08-08 15:14:32.337341] 46 bytes from 54.197.223.49: icmp_seq=37 ttl=48 time=51.5 ms
[2023-08-08 15:14:32.537219] 46 bytes from 54.197.223.49: icmp_seq=38 ttl=48 time=50.3 ms
[2023-08-08 15:14:32.737219] 46 bytes from 54.197.223.49: icmp_seq=39 ttl=48 time=49.3 ms
[2023-08-08 15:14:32.949018] 46 bytes from 54.197.223.49: icmp_seq=40 ttl=48 time=60.0 ms
[2023-08-08 15:14:33.140413] 46 bytes from 54.197.223.49: icmp_seq=41 ttl=48 time=50.8 ms
[2023-08-08 15:14:33.340209] 46 bytes from 54.197.223.49: icmp_seq=42 ttl=48 time=50.1 ms
[2023-08-08 15:14:33.584468] 46 bytes from 54.197.223.49: icmp_seq=43 ttl=48 time=93.6 ms
[2023-08-08 15:14:33.747379] 46 bytes from 54.197.223.49: icmp_seq=44 ttl=48 time=55.2 ms
